 reading input parameter from Param.in
  meteorologic parameters
  canopy parameters
  interception parameters
  snow parameters
  leaf parameters affecting PE
  soil parameters
  i1=            1 i2=           13
  flow parameters
  integration specifications
  heat flow
 in\Param.in closed
 in\Climate.in opened
 begin day loop

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
14. 6.2000  388.   1.69   0.00    5.3   3.2   0.2   0.0   0.3   1.2       0.022
15. 6.2000  388.   1.01   0.00    2.8   2.0   0.2   0.0   0.3   0.8       0.053
16. 6.2000  386.   0.00   0.00    0.0   2.0   0.2   0.0   0.4   1.7      -0.048
17. 6.2000  382.   0.00   0.00    0.0   3.6   0.2   0.0   0.4   3.3       0.019
18. 6.2000  377.   0.00   0.00    0.0   5.1   0.1   0.0   0.6   4.6       0.035
19. 6.2000  372.   0.00   0.00    0.0   5.3   0.1   0.0   0.6   5.4      -0.004
20. 6.2000  367.   0.03   0.00    0.1   5.3   0.1   0.0   0.7   5.6      -0.008
21. 6.2000  364.   1.05   0.00    2.9   5.3   0.1   0.0   0.6   4.1       0.000
22. 6.2000  363.   0.84   0.00    2.3   3.1   0.1   0.0   0.4   1.9      -0.043
23. 6.2000  363.   1.09   0.00    3.0   3.1   0.1   0.0   0.5   1.7      -0.037
24. 6.2000  365.   1.18   0.00    3.3   1.9   0.1   0.0   0.2   0.5       0.023
25. 6.2000  369.   1.33   0.00    5.9   1.8   0.1   0.0   0.2   0.4      -0.022
26. 6.2000  367.   0.06   0.00    0.2   1.6   0.1   0.0   0.3   1.2      -0.026
27. 6.2000  365.   0.00   0.00    0.0   1.9   0.1   0.0   0.4   1.6       0.003
28. 6.2000  364.   0.00   0.00    0.0   1.3   0.1   0.0   0.3   1.1      -0.027

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
29. 6.2000  363.   0.00   0.00    0.0   0.8   0.1   0.0   0.2   0.6      -0.044
30. 6.2000  360.   0.00   0.00    0.0   2.7   0.1   0.0   0.4   2.4       0.022
 1. 7.2000  358.   0.00   0.00    0.0   1.8   0.1   0.0   0.2   1.6       0.004
 2. 7.2000  356.   0.00   0.00    0.0   2.1   0.1   0.0   0.2   1.9       0.001
 3. 7.2000  355.   0.00   0.00    0.0   1.1   0.1   0.0   0.2   1.0      -0.017
 4. 7.2000  430.   1.46   0.00   77.3   2.5   0.2   0.0   0.2   0.9       0.001
 5. 7.2000  440.   0.47   0.00   13.0   0.6   1.2   0.0   0.1   0.1       0.007
 6. 7.2000  440.   1.41   0.00    2.4   1.8   1.6   0.0   0.2   0.3      -0.062
 7. 7.2000  437.   0.00   0.00    0.0   1.2   1.5   0.0   0.2   1.0      -0.142
 8. 7.2000  437.   0.62   0.00    1.7   0.9   1.4   0.0   0.1   0.2      -0.072
 9. 7.2000  440.   1.42   0.00    7.3   2.1   1.5   0.0   0.2   0.5       0.151
10. 7.2000  447.   1.43   0.00   11.4   2.1   2.0   0.0   0.3   0.5       0.134
11. 7.2000  450.   1.10   0.00    6.9   1.4   2.8   0.0   0.2   0.2       0.141
12. 7.2000  446.   0.15   0.00    0.1   1.5   2.7   0.0   0.3   1.1      -0.179
13. 7.2000  448.   1.27   0.00    6.3   1.7   2.5   0.0   0.2   0.3       0.135
14. 7.2000  446.   0.55   0.00    1.5   1.0   2.5   0.0   0.1   0.4      -0.132
15. 7.2000  450.   1.29   0.00    8.7   1.8   2.7   0.0   0.2   0.4       0.171
16. 7.2000  446.   0.04   0.00    0.1   1.6   2.7   0.0   0.2   1.4      -0.184
17. 7.2000  444.   0.48   0.00    1.3   0.9   2.2   0.0   0.1   0.3      -0.124
18. 7.2000  443.   0.69   0.00    1.9   1.0   2.1   0.0   0.1   0.2      -0.110

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
19. 7.2000  443.   0.75   0.00    2.1   1.0   1.9   0.0   0.1   0.1      -0.090
20. 7.2000  439.   0.21   0.00    0.6   2.2   1.7   0.0   0.4   1.7      -0.159
21. 7.2000  437.   0.11   0.00    0.3   1.7   1.5   0.0   0.3   1.3      -0.149
22. 7.2000  439.   1.08   0.00    5.9   1.5   1.5   0.0   0.1   0.3       0.139
23. 7.2000  434.   0.13   0.00    0.0   3.9   1.4   0.0   0.4   3.4      -0.113
24. 7.2000  433.   0.80   0.00    2.2   2.3   1.2   0.0   0.3   1.2      -0.089
25. 7.2000  437.   0.49   0.00    6.7   0.6   1.3   0.0   0.1   0.1       0.144
26. 7.2000  435.   0.61   0.00    0.2   1.6   1.3   0.0   0.2   0.8      -0.120
27. 7.2000  441.   1.35   0.00    9.9   2.1   1.5   0.0   0.2   0.6       0.116
28. 7.2000  442.   0.38   0.00    3.7   0.5   1.8   0.0   0.1   0.1       0.077
29. 7.2000  440.   0.69   0.00    0.2   1.5   1.7   0.0   0.2   0.7      -0.142
30. 7.2000  442.   1.51   0.00    6.5   2.6   1.7   0.0   0.3   0.9       0.121
31. 7.2000  438.   0.03   0.00    0.1   2.1   1.7   0.0   0.2   1.9      -0.153
 1. 8.2000  434.   0.03   0.00    0.1   3.6   1.3   0.0   0.4   3.2      -0.116
 2. 8.2000  438.   1.50   0.00    8.1   2.4   1.3   0.0   0.3   0.7       0.147
 3. 8.2000  438.   1.49   0.00    4.1   2.7   1.4   0.0   0.3   1.0       0.008
 4. 8.2000  434.   0.00   0.00    0.0   2.4   1.3   0.0   0.3   2.2      -0.139
 5. 8.2000  431.   0.00   0.00    0.0   2.6   1.1   0.0   0.3   2.3      -0.146
 6. 8.2000  428.   0.36   0.00    1.0   2.3   1.0   0.0   0.3   1.7      -0.147
 7. 8.2000  426.   0.00   0.00    0.0   2.0   0.9   0.0   0.3   1.7      -0.153

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
 8. 8.2000  424.   0.27   0.00    0.7   1.6   0.8   0.0   0.2   1.2      -0.133
 9. 8.2000  421.   0.03   0.00    0.1   2.5   0.7   0.0   0.3   2.2      -0.134
10. 8.2000  426.   1.50   0.00    8.6   2.7   0.7   0.0   0.3   1.0       0.061
11. 8.2000  424.   0.00   0.00    0.0   1.3   0.8   0.0   0.2   1.1      -0.135
12. 8.2000  421.   0.00   0.00    0.0   2.8   0.7   0.0   0.3   2.5      -0.104
13. 8.2000  417.   0.00   0.00    0.0   3.0   0.6   0.0   0.3   2.7      -0.079
14. 8.2000  413.   0.00   0.00    0.0   4.1   0.5   0.0   0.4   3.7      -0.041
15. 8.2000  412.   0.62   0.00    1.7   2.5   0.5   0.0   0.3   1.7      -0.099
16. 8.2000  409.   0.33   0.00    0.9   3.0   0.4   0.0   0.4   2.3      -0.124
17. 8.2000  407.   0.00   0.00    0.0   2.5   0.4   0.0   0.3   2.2      -0.067
18. 8.2000  436.   1.68   0.00   33.2   3.5   0.7   0.0   0.3   1.5       0.006
19. 8.2000  435.   0.98   0.00    2.7   1.7   1.3   0.0   0.2   0.6      -0.051
20. 8.2000  435.   1.02   0.00    2.8   1.8   1.3   0.0   0.2   0.7      -0.049
