YR;  MO;DA;DOY;NL; SWATI; THETA;WETNES;  PSIMI;  PSITI; TEMPERATURE
2001;  1;  6;   6;   16;   36.3;  0.293;  0.934;    -5.8;   -18.1
2001;  1;  6;   6;   17;    7.8;  0.259;  0.973;    -4.7;   -19.4
2001;  1;  7;   7;    1;    4.6;  0.491;  0.868;    -2.9;    -3.0
2001;  1;  7;   7;    2;    8.9;  0.474;  0.895;    -2.8;    -3.0
2001;  1;  7;   7;    3;    9.0;  0.477;  0.901;    -2.6;    -3.0
2001;  1;  7;   7;    4;   13.6;  0.481;  0.909;    -2.3;    -3.0
2001;  1;  7;   7;    5;   15.2;  0.396;  0.933;    -2.0;    -3.0
2001;  1;  7;   7;    6;   15.3;  0.399;  0.943;    -1.7;    -3.1
2001;  1;  7;   7;    7;   15.5;  0.403;  0.953;    -1.4;    -3.2
2001;  1;  7;   7;    8;   19.5;  0.407;  0.965;    -1.0;    -3.2
2001;  1;  7;   7;    9;   39.8;  0.415;  0.987;    -0.4;    -3.4
2001;  1;  7;   7;   10;   40.3;  0.419;  1.000;     0.0;    -3.9
2001;  1;  7;   7;   11;   40.3;  0.419;  1.000;     0.0;    -4.9
2001;  1;  7;   7;   12;   30.2;  0.368;  1.000;     0.0;    -5.9
2001;  1;  7;   7;   13;   45.3;  0.368;  1.000;     0.0;    -7.1
2001;  1;  7;   7;   14;   28.7;  0.309;  1.000;     0.0;    -8.6
2001;  1;  7;   7;   15;   37.9;  0.305;  0.985;    -1.4;   -11.7
2001;  1;  7;   7;   16;   36.5;  0.294;  0.939;    -5.4;   -17.6
2001;  1;  7;   7;   17;    7.8;  0.259;  0.974;    -4.5;   -19.2
2001;  1;  8;   8;    1;    4.6;  0.491;  0.869;    -2.9;    -3.0
2001;  1;  8;   8;    2;    8.9;  0.474;  0.894;    -2.8;    -3.0
2001;  1;  8;   8;    3;    9.0;  0.477;  0.901;    -2.6;    -3.0
2001;  1;  8;   8;    4;   13.6;  0.481;  0.908;    -2.4;    -3.0
2001;  1;  8;   8;    5;   15.2;  0.395;  0.931;    -2.1;    -3.0
2001;  1;  8;   8;    6;   15.3;  0.398;  0.939;    -1.8;    -3.2
2001;  1;  8;   8;    7;   15.4;  0.401;  0.948;    -1.5;    -3.3
2001;  1;  8;   8;    8;   19.4;  0.405;  0.959;    -1.2;    -3.4
2001;  1;  8;   8;    9;   39.6;  0.412;  0.979;    -0.6;    -3.6
2001;  1;  8;   8;   10;   40.3;  0.419;  1.000;     0.0;    -3.9
2001;  1;  8;   8;   11;   40.3;  0.419;  1.000;     0.0;    -4.9
2001;  1;  8;   8;   12;   30.2;  0.368;  1.000;     0.0;    -5.9
2001;  1;  8;   8;   13;   45.3;  0.368;  1.000;     0.0;    -7.1
2001;  1;  8;   8;   14;   28.7;  0.309;  1.000;     0.0;    -8.6
2001;  1;  8;   8;   15;   38.3;  0.309;  1.000;     0.0;   -10.3
2001;  1;  8;   8;   16;   37.2;  0.300;  0.963;    -3.3;   -15.5
2001;  1;  8;   8;   17;    7.8;  0.260;  0.978;    -3.9;   -18.6
2001;  1;  9;   9;    1;    4.8;  0.509;  0.905;    -2.0;    -2.1
2001;  1;  9;   9;    2;    9.2;  0.489;  0.926;    -1.9;    -2.1
2001;  1;  9;   9;    3;    9.2;  0.491;  0.932;    -1.7;    -2.1
2001;  1;  9;   9;    4;   14.0;  0.495;  0.941;    -1.5;    -2.1
2001;  1;  9;   9;    5;   15.5;  0.405;  0.958;    -1.2;    -2.2
2001;  1;  9;   9;    6;   15.6;  0.406;  0.961;    -1.1;    -2.5
2001;  1;  9;   9;    7;   15.6;  0.408;  0.966;    -1.0;    -2.8
2001;  1;  9;   9;    8;   19.7;  0.410;  0.974;    -0.8;    -3.0
2001;  1;  9;   9;    9;   40.1;  0.417;  0.994;    -0.2;    -3.2
2001;  1;  9;   9;   10;   40.3;  0.419;  1.000;     0.0;    -3.9
2001;  1;  9;   9;   11;   40.3;  0.419;  1.000;     0.0;    -4.9
2001;  1;  9;   9;   12;   30.2;  0.368;  1.000;     0.0;    -5.9
2001;  1;  9;   9;   13;   45.3;  0.368;  1.000;     0.0;    -7.1
2001;  1;  9;   9;   14;   28.7;  0.309;  1.000;     0.0;    -8.6
2001;  1;  9;   9;   15;   38.3;  0.309;  1.000;     0.0;   -10.3
2001;  1;  9;   9;   16;   38.2;  0.308;  0.995;    -0.5;   -12.8
2001;  1;  9;   9;   17;    7.9;  0.263;  0.992;    -1.7;   -16.4
2001;  1; 10;  10;    1;    4.8;  0.506;  0.899;    -2.1;    -2.2
2001;  1; 10;  10;    2;    9.1;  0.486;  0.921;    -2.0;    -2.2
2001;  1; 10;  10;    3;    9.2;  0.490;  0.928;    -1.8;    -2.2
2001;  1; 10;  10;    4;   13.9;  0.494;  0.938;    -1.6;    -2.2
2001;  1; 10;  10;    5;   15.5;  0.405;  0.957;    -1.2;    -2.2
2001;  1; 10;  10;    6;   15.7;  0.409;  0.970;    -0.9;    -2.3
2001;  1; 10;  10;    7;   15.9;  0.413;  0.983;    -0.5;    -2.3
